HKU_HKSLLEX_ID.status,HKU_HKSLLEX_ID.id,HKU_HKSLLEX_ID.entryType,HKU_HKSLLEX_ID.categories,recording.date,recording.remarks,videoFile.name,videoFile.duration,videoFile.fileExtension,videoFile.supplementary,videoFile.nameOSF,videoFile.nameGIF,ASLLEX2.id,ASLLEX2.legacyIdMapping,ASLLEX2.correspondance,translation.EN-GB.primary,translation.EN-GB.disambiguation,translation.EN-GB.secondary,translation.ZH-HK.primary,translation.ZH-HK.disambiguation,translation.ZH-HK.secondary,translation.ZH-Yue.primary,translation.ZH-Yue.secondary,translation.unichar,translation.unprocessed.en-GB,translation.unprocessed.zh-HK,translation.unprocessed.zh-YUE,translation.literal,translation.figurative.en-GB,translation.figurative.zh-HK,translation.figurative.zh-YUE,source,variant.number,variant.notes,lexicalCategory.0,cuhkcslds_HandshapeFont.CodepointNotation,arto.stringNotation,arto.syllableBoundaries,morphemeCount,demonstrator,etymology.unprocessed.en-GB,etymology.unprocessed.zh-YUE,etymology.formal.en-GB,etymology.formal.zh-HK,etymology.formal.zh-YUE,etymology.category,iconicity.rating.deaf.average,iconicity.rating.deaf.count,iconicity.rating.hearing.average,iconicity.rating.hearing.count,lexicalCategory.1,lexicalCategory.2,videoFile.supplementary.0.fileName,videoFile.supplementary.0.type,videoFile.supplementary.0.content.text,videoFile.supplementary.0.content.language,videoFile.supplementary.0.fileExtension,videoFile.supplementary.1.fileName,videoFile.supplementary.1.type,videoFile.supplementary.1.content.text,videoFile.supplementary.1.content.language,videoFile.supplementary.1.fileExtension
live,HKSLLEX-2023-00000316,vocabulary,,2022-12-31,,HKSLLEX-2023-00000316.mp4,,mp4,,HKSLLEX-2023-00000316-Jacket.mp4,HKSLLEX-2023-00000316-Jacket.webp,jacket,jacket,1to1,jacket,,,夾克,,,外套,,,,,,,,,,ASLLEX2,,,名詞,120;120.121;121,"R,A",1.1,2,cynthia,,,,,,,3.6,10,4.9,20,,,,,,,,,,,,
live,HKSLLEX-2023-00000317,vocabulary,,2022-12-31,,HKSLLEX-2023-00000317.mp4,,mp4,,HKSLLEX-2023-00000317-Losegame.mp4,HKSLLEX-2023-00000317-Losegame.webp,lose_game,lose_game,1to1,lose game,,,輸,,,輸,,,"Literal translation: emblem gesture (""bad""); figurative translation (h*): bad [renarks: paired with mouthing]",,,,,,,ASLLEX2,,,動詞,50;0,A,1,1,cynthia,,,,,,,5.785714286,14,4.15,20,形容詞,,,,,,,,,,,
live,HKSLLEX-2023-00000318,vocabulary,,2022-12-31,,HKSLLEX-2023-00000318.mp4,,mp4,,HKSLLEX-2023-00000318-Europe.mp4,HKSLLEX-2023-00000318-Europe.webp,europe,europe,1to1,europe,,,歐洲,,,歐洲,,,Literal translation: a multi-pointed object arrayed in a circle; figurative translation (h): the many stars on the UN flag arranged in a circle,,,,,,,ASLLEX2,,,名詞,41;0,N,1,1,cynthia,,,,,,,0,6,1,17,,,,,,,,,,,,
live,HKSLLEX-2023-00000319,vocabulary,,2022-12-31,,HKSLLEX-2023-00000319.mp4,,mp4,,HKSLLEX-2023-00000319-Poor.mp4,HKSLLEX-2023-00000319-Poor.webp,poor,poor,1to1,poor,,,窮,,,窮,,,"Literal translation: morpheme SMALL (variant) held at the head; figurative translation (h): a fly on the head, as the impoverished is often depicted as dirty as well",,,,,,,ASLLEX2,,,形容詞,79;0,N,1,1,cynthia,,,,,,,2.5,6,1.315789474,19,,,,,,,,,,,,
live,HKSLLEX-2023-00000320,vocabulary,,2022-12-31,,HKSLLEX-2023-00000320.mp4,,mp4,,HKSLLEX-2023-00000320-Poor.mp4,HKSLLEX-2023-00000320-Poor.webp,poor,poor_2,1to1,poor,,,窮,,,窮,,,"Literal translation: index finger tracing the outline of a circular opening; figurative translation (h): a hole in the pocket, as pockets are used to contain important items, especially money, hence no money as the pocket becomes empty eventually",,,,,,,ASLLEX2,,,形容詞,66;79,N,1,1,cynthia,,,,,,,3.7,10,2.607142857,28,,,,,,,,,,,,
live,HKSLLEX-2023-00000321,vocabulary,,2022-12-31,,HKSLLEX-2023-00000321.mp4,,mp4,,HKSLLEX-2023-00000321-Morning.mp4,HKSLLEX-2023-00000321-Morning.webp,morning,morning,1to1,morning,,,早上,,,早上,,,"Literal translation: a hand rubbing horizontally from one side of the chin to the other once; figurative translation (h): rubbing the chin after waking up, either to wipe away saliva (in case the signer drools in their sleep), or to check for facial hair to see if shaving is necessary",,,,,,,ASLLEX2,,,名詞,120;0,N,1,1,cynthia,,,,,,,2.5,10,1.235294118,17,,,,,,,,,,,,
live,HKSLLEX-2023-00000322,vocabulary,,2022-12-31,,HKSLLEX-2023-00000322.mp4,,mp4,,HKSLLEX-2023-00000322-Worry.mp4,HKSLLEX-2023-00000322-Worry.webp,worry,worry,1to1,worry,,,擔心,,,擔心,,,Literal translation: a flat hand patting the chest; figurative translation (h): human behavior when one is afraid or anxious,,,,,,,ASLLEX2,,,動詞,120;0,A,1,1,cynthia,,,,,,,5.1,10,4.764705882,17,,,,,,,,,,,,
live,HKSLLEX-2023-00000323,vocabulary,,2022-12-31,,HKSLLEX-2023-00000323.mp4,,mp4,,HKSLLEX-2023-00000323-Tear.mp4,HKSLLEX-2023-00000323-Tear.webp,tear,tear,1to1,tear,,,眼淚,,,眼淚,,,Literal translation: a droplet-shaped object moving from the eye to the chin; figurative translation (h): a teardrop falling to the chin,,,,,,,ASLLEX2,,,動詞,73;0,T,1,1,cynthia,,,,,,,3,10,5.090909091,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000324,vocabulary,,2022-12-31,,HKSLLEX-2023-00000324.mp4,,mp4,,HKSLLEX-2023-00000324-Cancellation.mp4,HKSLLEX-2023-00000324-Cancellation.webp,cancellation,cancellation,1to1,cancellation,,,取消,,,取消,,,Literal translation: a flat surface sliding off another parallel flat surface once; figurative translation (h*): wiping off or clearing items or events,,,,,,,ASLLEX2,,,動詞,120;120,N,1,1,cynthia,,,,,,,2.833333333,6,2.454545455,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000325,vocabulary,,2022-12-31,,HKSLLEX-2023-00000325.mp4,,mp4,,HKSLLEX-2023-00000325-Church.mp4,HKSLLEX-2023-00000325-Church.webp,church,church,1to1,church,,,教堂,,,教堂,,,,,,,,,,ASLLEX2,,,名詞,49;58.120;120,"A,T",1.1,2,cynthia,,,,,,,5.833333333,6,4.259259259,27,,,,,,,,,,,,
live,HKSLLEX-2023-00000326,vocabulary,,2022-12-31,,HKSLLEX-2023-00000326.mp4,,mp4,,HKSLLEX-2023-00000326-Hammer.mp4,HKSLLEX-2023-00000326-Hammer.webp,hammer,hammer,1to1,hammer,,,槌,,,槌,,,Literal translation: a hand holding up a long slender object and bringing it down; figurative translation (h): a hand holding a hammer and hammering once,,,,,,,ASLLEX2,,,名詞,51;0,A,1,1,cynthia,,,,,,,3.4,10,4.647058824,17,,,,,,,,,,,,
live,HKSLLEX-2023-00000327,vocabulary,,2022-12-31,,HKSLLEX-2023-00000327.mp4,,mp4,,HKSLLEX-2023-00000327-Hearing.mp4,HKSLLEX-2023-00000327-Hearing.webp,hearing,hearing,Mto1,hearing,,,健聽,,,健聽,,,Literal translation: morpheme GOOD moving from the ear to the mouth in quick succession; figurative translation (h): good ears and a good mouth,,,,,,,ASLLEX2,,,形容詞,50;0,R,1,1,cynthia,,,,,,,4,14,2.148148148,27,,,,,,,,,,,,
live,HKSLLEX-2023-00000328,vocabulary,,2022-12-31,,HKSLLEX-2023-00000328.mp4,,mp4,,HKSLLEX-2023-00000328-Listen.mp4,HKSLLEX-2023-00000328-Listen.webp,^listen,^listen,Mto1_other,listen,,,聽,,,聽,,,,,,,,,,HKU-HKSLLEX,,,動詞,59;0,A,1,1,cynthia,,,,,,,5.111111111,9,5.434782609,23,,,,,,,,,,,,
live,HKSLLEX-2023-00000329,vocabulary,,2022-12-31,,HKSLLEX-2023-00000329.mp4,,mp4,,HKSLLEX-2023-00000329-Rabbit.mp4,HKSLLEX-2023-00000329-Rabbit.webp,rabbit,rabbit,1to1,rabbit,,,兔子,,,兔仔,,,Literal translation: two slender objects held at the top of the head above the ears moving forward and backward in quick succession; figurative translation (h): two rabbit ears on top of the head,,,,,,,ASLLEX2,,,名詞,89;89,T,1,1,cynthia,,,,,,,5.909090909,11,5.565217391,23,,,,,,,,,,,,
live,HKSLLEX-2023-00000330,vocabulary,,2022-12-31,,HKSLLEX-2023-00000330.mp4,,mp4,,HKSLLEX-2023-00000330-Corn.mp4,HKSLLEX-2023-00000330-Corn.webp,corn_1,corn_2,1toM,corn,,,玉米,,,粟米,,,Literal translation: two hands holding the ends of an oblong object and rotating it forward; figurative translation (h) eating a corn on the cob,,,,,,,ASLLEX2,,,名詞,122;122,A,1,1,cynthia,,,,,,,2.6,10,2.407407407,27,,,,,,,,,,,,
live,HKSLLEX-2023-00000331,vocabulary,,2022-12-31,,HKSLLEX-2023-00000331.mp4,,mp4,,HKSLLEX-2023-00000331-Grandmother.mp4,HKSLLEX-2023-00000331-Grandmother.webp,grandmother,grandmother,Mto1,grandmother,,,嬤嬤,,祖母,嫲嫲,祖母,,"Literal translation: sign OLD and mouthing 嫲嫲 (father's mother); figurative translation (h*): referring to an old person, paired with mouthing to differentiate which elder in the household",,,,,,,ASLLEX2,,,名詞,60;0,N,1,1,cynthia,,,,,,,3.5,12,2.363636364,22,,,,,,,,,,,,
live,HKSLLEX-2023-00000332,vocabulary,,2022-12-31,,HKSLLEX-2023-00000332.mp4,,mp4,,HKSLLEX-2023-00000332-Granny.mp4,HKSLLEX-2023-00000332-Granny.webp,grandmother,grandmother,Mto1,granny,elderly woman,,婆婆,,,婆婆,,,"Literal translation: a round object placed at the back of the head; figurative translation (h): a hair bun on the back of the head, which is a typical hairstyle among grandmothers",,,,,,,ASLLEX2,,,名詞,60;0,T,1,1,cynthia,,,,,,,6,11,2.5,28,,,,,,,,,,,,
live,HKSLLEX-2023-00000333,vocabulary,,2022-12-31,,HKSLLEX-2023-00000333.mp4,,mp4,,HKSLLEX-2023-00000333-Woman.mp4,HKSLLEX-2023-00000333-Woman.webp,woman,woman,1to1,woman,,,女人,,,女人,,,"Literal translation (h): a round slender object clasping on the ear; figurative translation: hoop earrings, as traditionally, only women wear earrings",,,,,,,ASLLEX2,,,名詞,74;0,R,1,1,cynthia,,,,,,,4.9,10,2.185185185,27,,,,,,,,,,,,
